"GEOID","total_population","tot_population_race","pop_nonwhite","pop_nonwhitenh","race_pct_white","race_pct_whitenh","race_pct_nonwhite","race_pct_nonwhitenh","race_pct_black","race_pct_aapi","race_pct_native","race_pct_hisp","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65"
"01",4864680,4864680,1547227,1667950,0.681946808423165,0.65713058207323,0.318053191576835,0.34286941792677,0.265831668270061,0.0137297828428591,0.00525748867345848,0.0417593757451672,829400,0.174897431744875,26846,4572555,0.948172958007066,0.051827041992934,0.0324588769298565,0.225871588675925,0.225829653749065,0.387171612521276,0.161127145053734
"02",738516,738516,259682,287762,0.648373224141386,0.610351028278331,0.351626775858614,0.389648971721669,0.0326722779195034,0.0750220712889091,0.144424765340223,0.0693092634418212,77865,0.108044691497126,35874,684276,0.837926509186352,0.162073490813648,0.0356259754835768,0.252043286807598,0.261565084575013,0.380194877294466,0.106196751322923
"04",6946685,6946685,1582544,3120799,0.772187165532912,0.550749890055472,0.227812834467088,0.449250109944528,0.0439431181923464,0.0349805698689375,0.0445651415027456,0.311416452595735,1092192,0.160877067779646,29265,6510583,0.72805169675281,0.27194830324719,0.205571298300014,0.235188870662769,0.233893000762234,0.36417384695002,0.166744281624977
"05",2990671,2990671,687797,816822,0.770019169611101,0.726876677508158,0.229980830388899,0.273123322491842,0.154135978180148,0.0173730243146103,0.00669983425124328,0.0732451011829787,510337,0.175796235828899,25635,2800360,0.92607771857904,0.0739222814209601,0.053428130668914,0.2360483650659,0.22564835784344,0.375284342543864,0.163018934546796
"06",39148760,39148760,15619692,24452924,0.601016941532759,0.375384456621359,0.398983058467241,0.624615543378641,0.0579296764444136,0.147072474326134,0.00757303679605689,0.388813770857621,5487141,0.142866754099464,35021,36668081,0.558716748771227,0.441283251228773,0.287160405258186,0.231773752221015,0.249311395814325,0.383138980647152,0.135775871317508
"08",5531141,5531141,875557,1752929,0.841704089626354,0.683080037193049,0.158295910373646,0.316919962806951,0.0412099420354679,0.0327221815534986,0.00985022800901297,0.214204266353,590504,0.109154154382671,36415,5195942,0.830326243056601,0.169673756943399,0.117866019289669,0.227768375458156,0.248029656087234,0.390298674360317,0.133903294094293
"09",3581504,3581504,846624,1162808,0.763612158467504,0.675329693893962,0.236387841532496,0.324670306106038,0.105615406265077,0.0446711772484409,0.00270780096853166,0.156858962044996,348449,0.100275950307649,43056,3396521,0.778300502190329,0.221699497809671,0.117778161830885,0.210142163739033,0.220583028805775,0.405215239184432,0.16405956827076
"10",949495,949495,294590,353872,0.68974033565211,0.627305041100796,0.31025966434789,0.372694958899204,0.221056456326784,0.0391787213202808,0.00363877640219274,0.0909062185688182,109798,0.118870428872399,33989,894641,0.870287634928424,0.129712365071576,0.0700359138470068,0.214246520518802,0.223748413630404,0.385986234787966,0.176018831062828
"11",684498,684498,404029,436441,0.409744075220088,0.362392585515224,0.590255924779912,0.637607414484776,0.469419925259095,0.0395296991371779,0.00291162282431797,0.109242101510888,109497,0.168220896219458,53321,639806,0.825529926258897,0.174470073741103,0.0895912198385135,0.177848583925738,0.344041911006314,0.358734430195559,0.119375074872388
"12",20598139,20598139,5069041,9401282,0.753907816623628,0.543585855013407,0.246092183376372,0.456414144986593,0.16100367125399,0.027772169126541,0.00282151703122306,0.251708176160963,2983851,0.147872462948764,30197,19480719,0.708947703624286,0.291052296375714,0.215581262683374,0.201404214235082,0.215010103582659,0.386268050720504,0.197317631461755
"13",10297484,10297484,4217508,4821043,0.590433158235546,0.531823210407513,0.409566841764454,0.468176789592487,0.31457198671054,0.039679207076214,0.00325166807736725,0.0940485073829685,1607714,0.160375449053831,29523,9641674,0.861045810094803,0.138954189905197,0.0798654880884792,0.242903509245559,0.235924231588998,0.389849986656935,0.131322272508508
"15",1422029,1422029,1066417,1107493,0.250073662351471,0.221188175487279,0.749926337648529,0.778811824512721,0.0184707906800776,0.478271540172528,0.00210051975030045,0.104049917406748,137516,0.0993881294511667,34035,1331641,0.738563922258326,0.261436077741674,0.0218527365859117,0.215537798455587,0.233677372261747,0.377824221587605,0.172960607695061
"16",1687809,1687809,160547,300155,0.90487845484886,0.822162934313065,0.0951215451511397,0.177837065686935,0.00683489660263691,0.0157120859054549,0.0135027126884618,0.123872428693057,228882,0.138161957381924,26772,1573645,0.892482739118416,0.107517260881584,0.0804596970727197,0.260204798054756,0.224890968113098,0.364531176217214,0.150373057614932
"17",12821497,12821497,3632312,4927211,0.716701411699429,0.615707042633165,0.283298588300571,0.384292957366835,0.142270828437584,0.0542373484157115,0.00248520122104307,0.169624654593765,1635603,0.130604969958756,34463,12044540,0.770006741643932,0.229993258356068,0.134191758257268,0.228254235835332,0.23334981866782,0.390604856827561,0.147791088669287
"18",6637426,6637426,1089149,1362264,0.835907925753146,0.794760197703146,0.164092074246854,0.205239802296854,0.0933301553945761,0.0222690241668984,0.00224861263989986,0.0678375924643077,908359,0.141142855011901,28461,6219127,0.914307104518046,0.0856928954819542,0.0464023326746664,0.237184263899891,0.22904210156166,0.383705972767154,0.150067661771295
"19",3132499,3132499,304610,436611,0.90275814932423,0.86061894991826,0.0972418506757704,0.13938105008174,0.0350873216559686,0.0249679249698085,0.00368683278111182,0.0585143043940317,353634,0.116688862696547,31085,2935069,0.920252300712522,0.0797476992874784,0.0404450457553127,0.233050992195049,0.228133193338609,0.374949201899187,0.163866612567155
