"GEOID","total_population","tot_population_race","pop_nonwhite","pop_nonwhitenh","race_pct_white","race_pct_whitenh","race_pct_nonwhite","race_pct_nonwhitenh","race_pct_black","race_pct_aapi","race_pct_native","race_pct_hisp","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65"
"01001",55200,55200,12763,13788,0.768786231884058,0.750217391304348,0.231213768115942,0.249782608695652,0.191394927536232,0.0108695652173913,0.0028804347826087,0.0276811594202899,8422,0.153784351319273,29372,51979,0.967486869697378,0.0325131303026223,0.0182766117085746,0.242192028985507,0.212481884057971,0.399492753623188,0.145833333333333
"01003",208107,208107,28581,35339,0.862661995992446,0.83018831658714,0.137338004007554,0.16981168341286,0.0949703758162868,0.00811601724113076,0.00731354543576141,0.0449432263210752,21653,0.105660985024082,31203,184627,0.939629631635676,0.0603703683643237,0.0410936645236071,0.219488051819497,0.186283978914693,0.398823682048177,0.195404287217633
"01005",25782,25782,13566,13884,0.473818943448918,0.461484756807075,0.526181056551082,0.538515243192925,0.47575828097122,0.00376231479326662,0.00279264603211543,0.0428981459933287,6597,0.288633181659083,18461,25456,0.942489000628535,0.0575109993714645,0.0439189189189189,0.210844775424715,0.226824916608487,0.382592506399814,0.179737801566985
"01007",22527,22527,5259,5726,0.766546810494074,0.745816131753008,0.233453189505926,0.254183868246992,0.222754916322635,0.00164247347627292,0.000355129400275225,0.0242819727438185,2863,0.139876880984952,20199,21471,0.975827860835546,0.0241721391644544,0.0181640352102836,0.206818484485284,0.229191636702624,0.401473787011142,0.16251609180095
"01009",57645,57645,2591,7413,0.955052476363952,0.871402550091075,0.0449475236360483,0.128597449908925,0.0149535952814641,0.00374707259953162,0.00244600572469425,0.0912655043802585,8220,0.144003363582215,22656,54165,0.928311640358165,0.0716883596418352,0.0649866149727684,0.233636915604129,0.196651921242085,0.392193598750976,0.17751756440281
"01011",10352,10352,8076,8124,0.219860896445131,0.215224111282844,0.780139103554869,0.784775888717156,0.762461360123648,0.00540958268933539,0.0117851622874807,0.00492658423493045,3110,0.313856090422848,20346,10003,0.96001199640108,0.0399880035989203,0.0315905228431471,0.207689335394127,0.214258114374034,0.421947449768161,0.156105100463679
"01013",20025,20025,9611,9641,0.520049937578027,0.518551810237204,0.479950062421973,0.481448189762796,0.452184769038702,0.0115355805243446,9.98751560549313e-05,0.0033458177278402,4640,0.235449332724413,20430,19111,0.980011511694835,0.0199884883051645,0.0137093820312909,0.228014981273408,0.199500624219725,0.382421972534332,0.190062421972534
"01015",115098,115098,29540,31675,0.743349145945195,0.724799735877252,0.256650854054805,0.275200264122748,0.205702966167961,0.00933117864776104,0.0030669516412101,0.0365167075014336,20819,0.185915467802574,24706,109832,0.956597348677981,0.043402651322019,0.0302279845582344,0.218909103546543,0.224017793532468,0.38864272185442,0.168430381066569
"01017",33826,33826,14343,14954,0.57597705906699,0.557914030627328,0.42402294093301,0.442085969372672,0.393750369538225,0.0119730384911015,0.00286761662626382,0.0227044285460888,5531,0.166225882070085,22827,32039,0.989512781297793,0.0104872187022067,0.00280907643809108,0.207118784367055,0.205374563944894,0.398037012948619,0.189469638739431
"01019",25853,25853,1856,2123,0.928209492128573,0.917881870575949,0.0717905078714269,0.0821181294240514,0.0490078520867984,0.00212741267937957,0.00912853440606506,0.0153947317526012,3827,0.15007254617466,23356,24723,0.990413784734862,0.0095862152651377,0.00428750556162278,0.204463698603644,0.171082659652652,0.407032065911113,0.217421575832592
