"GEOID","NAME.x","total_population","tot_population_race","pop_nonwhite","pop_nonwhitenh","race_pct_white","race_pct_whitenh","race_pct_nonwhite","race_pct_nonwhitenh","race_pct_black","race_pct_aapi","race_pct_native","race_pct_hisp","in_poverty","inc_pct_poverty","inc_percapita_income","tot_population_language","only_english_pct","any_other_than_english_pct","spanish_pct","age_pct_under18","age_pct_18_34","age_pct_35_64","age_pct_over65","Low","Mid","High","LowPerCap","MidPerCap","HighPerCap","ZIP_CODE","PO_NAME","STATE","ZIP_TYPE","zip_join_type","percentile"
"49854","ZCTA5 49854",6194,6194,813,869,0.868743945753955,0.859702938327414,0.131256054246045,0.140297061672586,0.0048433968356474,0.00419761059089441,0.0699063609945108,0.010494026477236,1387,0.227900098586921,22716,6084,0.962689020381328,0.0373109796186719,0.00509533201840894,0.177591217307071,0.141265741039716,0.423797223119148,0.257345818534065,7501233.31,10976233.31,14451233.31,1211.04832257023,1772.07512269939,2333.10192282854,"49854","Manistique","MI","Zip Code Area","Zip Matches ZCTA",71
"49934","ZCTA5 49934",882,882,9,9,0.989795918367347,0.989795918367347,0.0102040816326531,0.0102040816326531,0.00680272108843537,0,0,0,83,0.100728155339806,23473,868,0.987327188940092,0.0126728110599078,0,0.26984126984127,0.17687074829932,0.382086167800454,0.171201814058957,356893.8,681893.8,1006893.8,404.641496598639,773.122222222222,1141.60294784581,"49934","Hubbell","MI","Post Office or large volume customer","Zip Matches ZCTA",41
"49861","ZCTA5 49861",526,526,9,10,0.982889733840304,0.980988593155893,0.0171102661596958,0.0190114068441065,0,0,0.00190114068441065,0.0133079847908745,57,0.108365019011407,31535,481,0.981288981288981,0.0187110187110187,0.00207900207900208,0.0931558935361217,0.114068441064639,0.431558935361217,0.361216730038023,191971.5,191971.5,191971.5,364.964828897338,364.964828897338,364.964828897338,"49861","Michigamme","MI","Zip Code Area","Zip Matches ZCTA",22
"48625","ZCTA5 48625",13005,13005,499,595,0.96163014225298,0.954248366013072,0.0383698577470204,0.0457516339869281,0.0069204152249135,0.00469050365244137,0.00492118415993849,0.0123798539023453,3631,0.283384063060954,18832,12513,0.966594741468872,0.0334052585311276,0.0107887796691441,0.175701653210304,0.171011149557862,0.414455978469819,0.238831218762015,3162980.27,3987980.27,4812980.27,243.212631295656,306.649770857363,370.08691041907,"48625","Harrison","MI","Zip Code Area","Zip Matches ZCTA",18
"48091","ZCTA5 48091",30031,30031,12598,13070,0.58050014984516,0.564783057507243,0.41949985015484,0.435216942492757,0.227564849655356,0.15067763311245,0.00216443008890813,0.0211115180979654,9138,0.30562895080103,21234,28120,0.82549786628734,0.17450213371266,0.00910384068278805,0.236056075388765,0.239485864606573,0.389497519230129,0.134960540774533,47381056.43,72806056.43,98231056.43,1577.73821817455,2424.36337218208,3270.9885261896,"48091","Warren","MI","Zip Code Area","Zip Matches ZCTA",81
"49948","ZCTA5 49948",530,530,27,40,0.949056603773585,0.924528301886792,0.0509433962264151,0.0754716981132075,0.0226415094339623,0,0.0150943396226415,0.0339622641509434,101,0.190566037735849,20402,503,0.930417495029821,0.0695825049701789,0.0139165009940358,0.190566037735849,0.10188679245283,0.343396226415094,0.364150943396226,49196,49196,49196,92.822641509434,92.822641509434,92.822641509434,"49948","Mass City","MI","Zip Code Area","Zip Matches ZCTA",6
"48083","ZCTA5 48083",22981,22981,7315,7802,0.681693572951569,0.660502153953266,0.318306427048431,0.339497846046734,0.0573952395457117,0.227709847265132,0.00143596884382751,0.0282407205952744,1625,0.0707783440045298,37313,21890,0.656327089995432,0.343672910004568,0.0343079031521243,0.186632435490188,0.238675427527088,0.411426830860276,0.163265306122449,186358060.95,287783060.95,389208060.95,8109.22331273661,12522.6517971368,16936.0802815369,"48007","Troy","MI","Post Office or large volume customer","Spatial join to ZCTA",98
"49878","ZCTA5 49878",3381,3381,231,300,0.93167701863354,0.911268855368234,0.0683229813664596,0.0887311446317658,0,0.0020703933747412,0.0239574090505768,0.0304643596569062,399,0.118012422360248,25909,3452,0.973638470451912,0.026361529548088,0.0121668597914253,0.174208813960367,0.16178645371192,0.38893818396924,0.275066548358474,1102876.5,1302876.5,1502876.5,326.198314108252,385.352410529429,444.506506950606,"49878","Rapid River","MI","Zip Code Area","Zip Matches ZCTA",23
"49248","ZCTA5 49248",783,783,29,62,0.962962962962963,0.920817369093231,0.0370370370370371,0.0791826309067688,0.0268199233716475,0,0.0102171136653895,0.0472541507024266,81,0.104516129032258,25312,816,0.982843137254902,0.0171568627450981,0.0134803921568627,0.246487867177522,0.15581098339719,0.401021711366539,0.196679438058748,252966.5,252966.5,252966.5,323.07343550447,323.07343550447,323.07343550447,"49248","Jasper","MI","Zip Code Area","Zip Matches ZCTA",19
"49780","ZCTA5 49780",1924,1924,295,367,0.846673596673597,0.809251559251559,0.153326403326403,0.190748440748441,0.00623700623700624,0.00415800415800416,0.0644490644490645,0.051975051975052,184,0.0959833072509129,21913,1761,0.988642816581488,0.0113571834185122,0.00227143668370244,0.21985446985447,0.217255717255717,0.424116424116424,0.138773388773389,620483.89,620483.89,620483.89,322.496824324324,322.496824324324,322.496824324324,"49780","Rudyard","MI","Zip Code Area","Zip Matches ZCTA",19
"49722","ZCTA5 49722",308,308,3,3,0.99025974025974,0.99025974025974,0.00974025974025972,0.00974025974025972,0,0,0,0,30,0.0974025974025974,21869,308,1,0,0,0.126623376623377,0.246753246753247,0.431818181818182,0.194805194805195,13583,13583,13583,44.1006493506493,44.1006493506493,44.1006493506493,"49722","Conway","MI","Post Office or large volume customer","Zip Matches ZCTA",3
